col_mode_transport,col_polluant,col_emission_totale,col_emission_moyenne,col_concentration_moyenne,col_date,col_saison,col_ville,col_emission_par_usager_gkm,col_nb_usagers_journaliers,col_emission_totale_kg,col_concentration_ugm3,col_indice_qualite_air,col_source
TER,NO2,6.81,7.46,45.43,2024-09-23 00:00:00,5.63,Paris,8.04,2.8,2.52,15.39,7.14,Météo-France
Métro,O3,1.59,1.69,12.05,2024-05-29 00:00:00,8.42,Nantes,3.97,5.55,7.97,22.79,7.37,Data.gouv.fr
Bus RATP,O3,3.46,1.78,29.13,2024-09-16 00:00:00,6.31,Toulouse,2.41,2.74,5.15,75.13,2.26,Airparif
TGV,SO2,7.17,3.11,31.73,2024-01-31 00:00:00,6.0,Marseille,3.09,3.0,3.17,55.51,5.8,Data.gouv.fr
TGV,PM2.5,5.81,4.21,4.28,2024-09-13 00:00:00,2.14,Paris,3.93,7.0,1.89,26.91,2.28,Airparif
RER,CO,7.33,4.9,82.86,2024-04-06 00:00:00,2.26,Marseille,2.96,7.88,6.19,68.05,8.46,Météo-France
Bus RATP,PM10,8.62,1.79,19.03,2024-11-25 00:00:00,6.43,Marseille,6.54,6.22,4.73,9.28,7.34,Airparif
Bus RATP,PM10,8.56,4.02,37.39,2024-01-17 00:00:00,8.68,Nice,5.05,2.65,5.26,79.4,8.24,Météo-France
TER,CO,7.28,7.64,40.05,2024-02-23 00:00:00,5.34,Bordeaux,6.03,1.22,4.14,37.41,1.54,SNCF_Open_Data
TER,O3,1.66,3.42,33.65,2024-02-03 00:00:00,5.25,Strasbourg,1.74,5.04,3.33,57.5,3.59,Data.gouv.fr
TGV,NO2,5.5,2.35,9.2,2024-06-26 00:00:00,6.64,Montpellier,1.52,1.9,7.27,62.9,5.23,Airparif
TGV,PM2.5,4.26,8.0,27.79,2024-04-27 00:00:00,8.29,Bordeaux,1.68,3.02,1.63,81.93,4.08,Airparif
Métro,NO2,1.24,3.65,22.65,2024-02-24 00:00:00,2.54,Nice,8.2,3.51,5.82,56.82,3.38,Data.gouv.fr
Bus RATP,SO2,3.46,5.51,28.25,2024-06-24 00:00:00,2.43,Strasbourg,8.24,8.74,6.29,20.64,8.37,SNCF_Open_Data
Tramway,SO2,7.53,2.64,69.64,2024-12-06 00:00:00,4.97,Lille,8.28,1.46,8.78,22.37,7.64,Météo-France
Transilien,O3,6.75,2.29,53.67,2024-03-06 00:00:00,4.45,Lille,6.38,7.42,5.71,62.48,3.12,Airparif
Métro,O3,4.36,5.17,26.22,2024-03-15 00:00:00,2.17,Paris,5.79,6.7,1.26,12.17,2.52,Airparif
Bus RATP,PM10,6.01,3.04,69.56,2024-02-01 00:00:00,5.76,Strasbourg,4.26,2.22,3.64,78.89,1.53,Airparif
TER,NO2,1.48,7.75,65.21,2024-07-04 00:00:00,3.55,Bordeaux,7.75,3.8,7.81,54.24,7.45,SNCF_Open_Data
Bus RATP,O3,1.76,3.41,44.03,2024-08-07 00:00:00,1.95,Paris,2.59,5.47,6.12,58.24,2.17,Airparif
Transilien,CO,5.83,7.95,56.67,2024-01-09 00:00:00,8.49,Strasbourg,1.95,6.93,7.46,26.7,3.99,Météo-France
Bus RATP,PM10,7.24,6.94,22.21,2024-09-17 00:00:00,1.38,Strasbourg,6.8,7.3,8.38,36.68,3.89,Airparif
Métro,NO2,4.53,5.01,77.39,2024-12-23 00:00:00,1.5,Lyon,3.93,3.27,6.64,76.61,1.48,Météo-France
Transilien,CO,2.66,3.1,69.36,2024-02-03 00:00:00,4.09,Toulouse,7.12,2.92,5.45,26.72,8.66,Météo-France
Transilien,O3,3.7,2.15,66.58,2024-09-27 00:00:00,1.9,Nice,8.72,4.07,3.66,58.71,2.66,Data.gouv.fr
RER,PM2.5,4.91,1.7,55.43,2024-02-24 00:00:00,4.37,Montpellier,5.4,7.64,5.26,44.31,7.41,Météo-France
Métro,NO2,2.57,1.83,11.55,2024-08-02 00:00:00,5.57,Lyon,4.69,7.19,6.67,58.39,1.92,SNCF_Open_Data
TGV,PM2.5,4.21,6.17,24.43,2024-12-02 00:00:00,5.95,Nantes,7.24,5.02,3.53,54.07,7.98,Airparif
RER,SO2,6.5,5.35,48.2,2024-06-04 00:00:00,2.04,Lyon,6.88,6.1,4.14,36.39,4.61,Météo-France
Tramway,PM10,6.58,1.28,84.7,2024-04-13 00:00:00,5.88,Montpellier,3.82,6.24,6.1,22.69,7.25,Airparif
Bus RATP,SO2,6.97,3.02,22.53,2024-07-15 00:00:00,2.87,Nantes,5.67,7.57,7.76,59.28,3.84,Data.gouv.fr
Métro,NO2,4.85,5.33,74.8,2024-11-25 00:00:00,6.73,Nantes,4.44,5.7,5.61,39.12,2.49,Météo-France
Métro,PM10,1.62,6.31,18.98,2024-04-12 00:00:00,2.17,Nice,2.54,7.29,8.19,39.73,7.97,RATP_Open_Data_2024
Tramway,PM10,6.53,7.68,64.64,2024-10-31 00:00:00,1.98,Lyon,7.59,5.73,8.62,43.23,4.64,RATP_Open_Data_2024
Bus RATP,SO2,4.95,5.61,14.12,2024-04-05 00:00:00,3.47,Paris,7.2,5.29,2.52,5.53,4.19,Météo-France
Bus RATP,SO2,6.59,7.21,11.67,2024-02-01 00:00:00,7.36,Nice,6.64,7.63,2.14,54.04,3.88,RATP_Open_Data_2024
TER,CO,7.28,5.58,50.37,2024-05-25 00:00:00,8.37,Lyon,1.66,5.21,6.31,53.71,3.01,RATP_Open_Data_2024
Tramway,CO,2.95,6.09,73.53,2024-01-20 00:00:00,5.49,Montpellier,3.63,6.65,2.88,59.02,3.19,Data.gouv.fr
RER,NO2,8.66,6.11,31.2,2024-09-16 00:00:00,2.64,Strasbourg,3.6,1.51,2.62,28.57,5.28,SNCF_Open_Data
TGV,PM10,8.01,8.75,76.66,2024-06-01 00:00:00,2.99,Strasbourg,6.31,6.8,8.08,35.52,1.28,RATP_Open_Data_2024
TER,PM2.5,4.11,7.61,41.12,2024-02-26 00:00:00,4.59,Nantes,3.44,1.84,6.66,36.27,8.37,SNCF_Open_Data
Métro,O3,6.73,2.15,40.34,2024-08-19 00:00:00,4.33,Nantes,2.97,2.1,4.41,56.73,2.61,Data.gouv.fr
Métro,O3,5.09,7.65,27.36,2024-11-07 00:00:00,2.84,Marseille,4.34,7.41,6.65,48.1,8.2,Data.gouv.fr
Tramway,CO,8.61,2.36,67.68,2024-01-19 00:00:00,8.44,Nice,8.21,8.69,6.09,62.15,8.6,RATP_Open_Data_2024
Tramway,CO,7.23,6.51,75.11,2024-01-23 00:00:00,4.84,Toulouse,5.0,3.69,2.12,67.45,8.31,Airparif
Transilien,NO2,8.22,8.45,6.12,2024-11-30 00:00:00,3.65,Montpellier,6.76,8.36,6.81,58.1,4.41,SNCF_Open_Data
RER,NO2,6.88,5.77,56.29,2024-01-31 00:00:00,3.53,Strasbourg,8.28,1.7,7.59,56.07,4.11,SNCF_Open_Data
TGV,NO2,6.3,8.57,2.38,2024-08-16 00:00:00,2.58,Strasbourg,7.9,3.91,7.1,19.45,5.25,SNCF_Open_Data
TER,SO2,2.91,2.89,23.95,2024-01-15 00:00:00,7.82,Nantes,4.61,4.71,7.81,60.79,4.86,Data.gouv.fr
TER,PM2.5,4.15,6.88,77.78,2024-12-21 00:00:00,7.19,Nice,6.39,3.38,2.7,58.4,5.74,RATP_Open_Data_2024
Tramway,O3,1.6,5.69,48.81,2024-06-19 00:00:00,2.98,Lille,8.27,7.12,6.51,78.69,7.4,Météo-France
RER,CO,5.65,7.23,56.1,2024-04-30 00:00:00,6.73,Paris,2.34,6.18,7.64,31.45,4.79,Airparif
Bus RATP,CO,3.43,2.06,60.85,2024-12-04 00:00:00,1.28,Bordeaux,3.13,6.52,2.49,17.21,4.77,RATP_Open_Data_2024
Transilien,SO2,3.57,6.97,65.51,2024-09-21 00:00:00,3.84,Nantes,3.72,4.64,3.35,2.65,4.42,Airparif
Tramway,O3,3.64,1.81,28.53,2024-02-26 00:00:00,2.71,Strasbourg,6.97,1.95,8.36,7.86,1.33,Airparif
Tramway,O3,7.97,1.44,70.27,2024-05-01 00:00:00,8.62,Toulouse,7.61,5.71,3.18,25.53,5.36,SNCF_Open_Data
RER,NO2,7.52,5.02,22.31,2024-01-16 00:00:00,1.6,Nice,8.73,5.15,8.54,15.6,4.39,Data.gouv.fr
RER,PM2.5,4.64,6.81,83.99,2024-11-10 00:00:00,5.57,Strasbourg,5.77,2.13,6.16,28.64,4.99,Météo-France
TGV,CO,3.81,6.38,3.01,2024-08-20 00:00:00,6.48,Bordeaux,7.98,6.04,2.34,28.86,7.55,Data.gouv.fr
Transilien,PM2.5,6.02,7.89,41.19,2024-05-03 00:00:00,6.91,Montpellier,1.44,3.76,4.25,59.03,2.2,Météo-France
Bus RATP,SO2,6.55,2.29,11.89,2024-02-28 00:00:00,5.79,Marseille,2.17,5.68,6.27,42.98,1.64,Météo-France
Tramway,SO2,4.09,1.46,75.52,2024-09-25 00:00:00,5.07,Toulouse,8.76,6.49,7.4,63.79,7.55,SNCF_Open_Data
TER,PM2.5,5.08,4.33,2.45,2024-01-27 00:00:00,6.19,Nantes,6.91,6.01,8.38,9.19,6.19,SNCF_Open_Data
TER,PM2.5,7.26,5.3,33.26,2024-10-17 00:00:00,3.68,Toulouse,2.32,4.12,4.36,33.63,4.21,Data.gouv.fr
Tramway,CO,6.6,8.57,35.9,2024-12-14 00:00:00,2.29,Marseille,7.1,2.55,4.05,77.1,6.65,Airparif
Bus RATP,SO2,4.01,5.74,6.15,2024-09-24 00:00:00,6.48,Nantes,2.02,7.39,6.12,49.86,7.58,RATP_Open_Data_2024
Métro,PM2.5,5.2,6.95,48.09,2024-11-16 00:00:00,6.91,Toulouse,1.35,8.27,4.33,77.18,5.32,Météo-France
RER,CO,3.68,2.83,26.37,2024-11-14 00:00:00,3.25,Lille,7.42,1.89,3.03,45.99,4.51,Airparif
RER,NO2,1.67,4.78,38.15,2024-01-05 00:00:00,7.77,Montpellier,8.62,6.5,8.57,19.09,6.56,Airparif
Tramway,CO,8.79,3.35,81.07,2024-12-06 00:00:00,6.01,Toulouse,5.1,5.69,7.43,71.53,1.74,SNCF_Open_Data
TER,SO2,4.41,5.38,48.93,2024-02-21 00:00:00,5.95,Toulouse,2.02,2.3,3.69,70.52,3.82,Météo-France
RER,PM2.5,5.41,3.8,28.67,2024-06-04 00:00:00,1.81,Paris,2.17,6.39,8.43,67.94,1.52,SNCF_Open_Data
TER,NO2,2.28,5.08,27.69,2024-01-09 00:00:00,7.41,Marseille,7.23,2.42,4.86,83.4,8.42,Data.gouv.fr
Transilien,NO2,5.69,6.36,79.72,2024-10-19 00:00:00,4.59,Nantes,2.89,6.58,4.18,48.25,2.29,Météo-France
Métro,NO2,3.91,8.12,26.0,2024-03-24 00:00:00,3.28,Montpellier,1.87,5.95,7.46,33.62,1.66,Airparif
TGV,PM2.5,7.88,2.44,34.96,2024-10-28 00:00:00,1.96,Toulouse,8.52,2.15,5.42,78.08,6.37,Data.gouv.fr
Bus RATP,PM2.5,3.56,4.31,42.41,2024-11-11 00:00:00,3.22,Marseille,6.95,4.49,8.63,72.52,2.9,Airparif
RER,NO2,5.6,1.3,28.8,2024-03-25 00:00:00,6.78,Montpellier,8.05,8.37,7.66,24.9,4.63,Data.gouv.fr
Transilien,SO2,7.04,8.06,53.74,2024-04-30 00:00:00,2.52,Strasbourg,1.6,2.36,2.13,84.49,5.06,Météo-France
Bus RATP,PM10,6.59,6.95,78.14,2024-07-10 00:00:00,3.7,Bordeaux,4.29,5.16,8.25,40.13,5.67,Météo-France
Tramway,O3,3.51,2.59,78.56,2024-11-05 00:00:00,1.62,Marseille,4.25,1.2,3.79,63.26,1.57,Météo-France
RER,PM10,7.45,3.84,14.15,2024-02-08 00:00:00,3.32,Nice,7.06,4.29,6.57,4.04,1.27,Airparif
Transilien,PM2.5,2.48,3.59,32.79,2024-05-28 00:00:00,8.68,Marseille,1.76,2.74,4.68,39.58,8.73,Météo-France
Tramway,NO2,3.25,3.29,52.46,2024-01-13 00:00:00,8.78,Toulouse,3.78,4.54,5.87,18.78,4.4,Airparif
Transilien,SO2,2.63,7.07,44.54,2024-06-19 00:00:00,4.71,Marseille,3.93,7.63,3.09,60.85,1.41,RATP_Open_Data_2024
Métro,NO2,3.43,7.11,8.71,2024-12-21 00:00:00,8.49,Nice,5.23,3.35,3.12,32.91,8.6,SNCF_Open_Data
TER,O3,7.03,3.38,39.96,2024-09-15 00:00:00,3.68,Bordeaux,2.93,4.6,4.78,61.06,1.43,RATP_Open_Data_2024
TER,NO2,5.58,4.76,23.17,2024-08-19 00:00:00,5.55,Paris,2.68,8.36,5.21,80.94,1.52,RATP_Open_Data_2024
Métro,O3,4.71,8.67,11.46,2024-06-20 00:00:00,5.92,Lille,4.8,4.18,4.13,55.02,7.75,Airparif
TGV,CO,3.59,6.42,20.46,2024-01-17 00:00:00,7.89,Paris,4.65,6.52,2.99,8.09,8.77,SNCF_Open_Data
Transilien,PM10,7.54,3.87,58.41,2024-11-14 00:00:00,8.18,Strasbourg,5.41,4.98,6.56,44.03,7.55,Airparif
RER,PM2.5,5.73,4.04,57.73,2024-01-12 00:00:00,3.41,Nice,8.72,5.31,3.86,72.07,8.06,RATP_Open_Data_2024
TER,PM2.5,2.12,4.25,49.24,2024-06-15 00:00:00,7.46,Marseille,7.95,6.44,7.42,79.06,3.88,SNCF_Open_Data
Métro,SO2,4.57,3.35,71.97,2024-05-18 00:00:00,1.48,Lille,6.63,3.83,4.07,21.99,4.07,Airparif
Métro,O3,8.39,8.11,14.91,2024-03-07 00:00:00,1.98,Strasbourg,5.41,1.93,8.02,27.74,1.3,Data.gouv.fr
TGV,CO,5.68,5.79,25.11,2024-01-11 00:00:00,8.38,Strasbourg,5.14,8.48,3.91,57.6,3.75,Météo-France
Tramway,NO2,5.54,2.03,23.3,2024-01-02 00:00:00,1.53,Nice,5.06,5.29,3.72,65.61,8.43,RATP_Open_Data_2024
Transilien,NO2,2.2,4.52,25.63,2024-09-29 00:00:00,3.77,Nice,3.17,5.94,3.14,9.71,2.95,Météo-France
Métro,NO2,6.34,2.95,54.38,2024-07-31 00:00:00,2.71,Lille,3.84,5.88,6.51,65.3,7.57,Airparif
RER,PM10,6.12,2.53,66.12,2024-07-09 00:00:00,3.21,Toulouse,6.32,8.48,1.95,63.04,7.57,Airparif
Tramway,O3,7.46,3.54,77.91,2024-12-09 00:00:00,6.75,Lyon,6.13,6.97,2.18,64.63,3.32,Météo-France
Bus RATP,O3,3.95,8.5,46.49,2024-01-07 00:00:00,6.77,Montpellier,7.39,6.2,6.6,50.92,8.17,Météo-France
RER,PM2.5,4.25,4.53,72.37,2024-01-26 00:00:00,7.55,Strasbourg,8.72,3.37,3.8,5.64,6.73,Airparif
TER,CO,5.18,7.15,33.33,2024-11-28 00:00:00,6.45,Strasbourg,7.08,6.62,1.67,69.44,3.19,Airparif
Bus RATP,CO,2.26,1.82,22.4,2024-07-31 00:00:00,6.37,Lille,2.26,8.33,1.8,29.74,6.35,Airparif
TGV,CO,5.34,2.64,56.36,2024-03-26 00:00:00,2.53,Nantes,5.49,7.99,7.39,65.59,7.47,Météo-France
Bus RATP,O3,6.63,6.95,74.02,2024-09-05 00:00:00,1.35,Montpellier,2.47,3.38,5.13,11.81,3.6,SNCF_Open_Data
TER,PM2.5,3.85,3.06,50.97,2024-08-22 00:00:00,8.32,Toulouse,8.32,3.36,1.82,57.0,7.12,SNCF_Open_Data
Transilien,NO2,3.0,6.68,28.89,2024-02-15 00:00:00,2.84,Nantes,8.7,8.58,6.3,14.74,1.32,RATP_Open_Data_2024
Tramway,CO,6.7,4.57,20.25,2024-03-28 00:00:00,5.64,Strasbourg,6.98,1.55,3.34,75.6,5.73,Airparif
Transilien,CO,6.7,2.44,12.56,2024-08-30 00:00:00,6.91,Nice,3.62,7.74,8.2,59.77,2.11,Météo-France
Transilien,NO2,1.53,1.4,23.5,2024-12-13 00:00:00,8.13,Marseille,6.04,3.56,8.77,56.46,8.51,SNCF_Open_Data
RER,O3,2.73,4.75,80.39,2024-02-07 00:00:00,1.32,Nice,1.72,5.33,3.75,11.01,7.56,Data.gouv.fr
Bus RATP,SO2,5.17,1.47,15.4,2024-12-08 00:00:00,1.67,Lyon,3.62,5.09,4.08,14.59,1.33,Data.gouv.fr
Transilien,PM10,6.11,4.11,40.72,2024-07-24 00:00:00,3.25,Paris,2.95,3.54,2.38,15.19,6.31,SNCF_Open_Data
Métro,PM10,4.79,2.96,64.52,2024-02-10 00:00:00,3.9,Marseille,1.21,2.9,6.13,17.93,4.18,RATP_Open_Data_2024
Transilien,SO2,3.17,2.93,24.73,2024-05-30 00:00:00,5.03,Lille,6.44,4.71,6.56,79.59,4.93,Météo-France
TGV,NO2,3.31,1.54,26.54,2024-08-09 00:00:00,3.47,Nice,5.01,4.97,7.21,42.5,6.98,Data.gouv.fr
TER,NO2,7.23,5.72,77.33,2024-03-04 00:00:00,2.67,Montpellier,5.51,6.33,4.09,65.9,5.4,Airparif
Transilien,NO2,2.14,7.95,10.64,2024-08-18 00:00:00,7.11,Montpellier,4.16,3.92,3.91,18.83,1.61,Météo-France
TER,O3,8.35,5.82,77.05,2024-12-15 00:00:00,2.59,Lille,5.14,4.59,6.2,67.02,5.81,Data.gouv.fr
Métro,CO,4.93,4.07,43.12,2024-12-25 00:00:00,6.99,Toulouse,8.13,7.14,1.81,39.81,4.81,Airparif
Bus RATP,CO,8.69,6.07,77.35,2024-01-04 00:00:00,4.16,Bordeaux,4.28,3.38,7.39,45.22,8.55,Météo-France
Métro,O3,2.91,3.0,50.14,2024-07-11 00:00:00,8.64,Lyon,2.37,6.13,3.71,2.46,3.95,RATP_Open_Data_2024
Bus RATP,CO,6.17,5.26,67.29,2024-07-09 00:00:00,3.15,Lyon,1.67,5.41,7.75,27.67,2.44,SNCF_Open_Data
Tramway,PM10,7.44,6.66,72.54,2024-06-11 00:00:00,3.12,Paris,3.27,8.6,3.53,53.18,7.9,SNCF_Open_Data
Tramway,CO,3.83,5.57,45.73,2024-05-03 00:00:00,8.76,Toulouse,7.82,7.14,5.01,65.19,4.39,Météo-France
Bus RATP,PM2.5,6.71,2.53,50.72,2024-01-20 00:00:00,3.96,Nice,8.65,2.9,2.78,25.44,3.98,RATP_Open_Data_2024
Tramway,PM2.5,6.84,4.53,77.58,2024-04-17 00:00:00,2.6,Strasbourg,7.51,3.67,2.01,84.88,6.41,Airparif
Bus RATP,PM2.5,7.6,5.41,52.89,2024-06-02 00:00:00,7.51,Bordeaux,5.09,7.36,3.37,3.57,4.02,Météo-France
TER,NO2,3.43,6.76,66.54,2024-03-21 00:00:00,2.03,Marseille,3.31,3.07,8.35,42.15,3.04,Data.gouv.fr
Transilien,NO2,1.73,8.08,77.91,2024-07-07 00:00:00,3.97,Nice,4.91,1.8,3.4,41.39,6.31,SNCF_Open_Data
TGV,O3,6.44,3.94,53.87,2024-04-02 00:00:00,5.53,Toulouse,3.85,6.81,8.65,26.21,6.15,Airparif
Transilien,CO,3.19,8.78,65.95,2024-07-07 00:00:00,7.9,Lille,7.55,4.48,8.03,10.68,5.98,Météo-France
Bus RATP,PM10,6.11,7.92,62.53,2024-08-02 00:00:00,7.53,Nice,6.2,6.99,1.55,7.12,3.79,Airparif
Tramway,PM10,3.34,8.68,51.7,2024-01-15 00:00:00,6.23,Nantes,3.56,8.21,7.67,25.73,8.08,Airparif
Transilien,PM2.5,6.19,7.99,83.66,2024-04-10 00:00:00,3.3,Marseille,4.62,7.08,5.21,21.51,1.48,RATP_Open_Data_2024
TGV,PM10,8.1,7.44,3.53,2024-06-15 00:00:00,4.85,Lille,5.04,3.96,2.2,37.79,4.01,Airparif
Transilien,NO2,7.48,1.27,28.42,2024-09-28 00:00:00,2.85,Toulouse,4.61,6.52,2.06,32.19,6.13,Data.gouv.fr
RER,NO2,7.49,7.82,10.28,2024-02-24 00:00:00,5.41,Bordeaux,8.07,6.96,2.42,79.8,1.54,Météo-France
RER,SO2,4.39,1.38,51.56,2024-10-18 00:00:00,1.49,Toulouse,7.82,4.66,5.53,58.99,1.38,RATP_Open_Data_2024
Transilien,PM10,7.32,1.5,64.93,2024-11-05 00:00:00,6.66,Nantes,6.67,4.82,2.42,65.21,3.19,Data.gouv.fr
Tramway,O3,3.78,2.63,14.58,2024-10-05 00:00:00,6.68,Bordeaux,4.13,4.21,4.62,56.91,2.99,Data.gouv.fr
TER,PM10,1.74,4.47,71.07,2024-07-31 00:00:00,5.78,Nice,6.39,3.86,8.62,44.46,4.83,Airparif
Tramway,CO,3.52,3.36,84.18,2024-12-19 00:00:00,6.73,Paris,4.51,6.3,7.8,7.24,7.75,Airparif
RER,NO2,2.62,4.75,54.4,2024-07-04 00:00:00,5.46,Lille,8.64,4.24,4.69,10.83,2.07,Météo-France
TER,PM10,6.62,4.84,71.6,2024-02-29 00:00:00,8.54,Montpellier,6.4,6.11,6.89,68.57,6.08,Météo-France
TER,PM2.5,4.35,2.89,28.81,2024-11-05 00:00:00,3.02,Lyon,8.73,5.08,6.06,51.53,1.28,Météo-France
Bus RATP,PM10,4.05,6.34,66.11,2024-09-01 00:00:00,3.97,Paris,4.16,3.38,3.87,73.17,4.27,RATP_Open_Data_2024
TER,CO,2.76,4.34,29.61,2024-05-18 00:00:00,6.55,Toulouse,7.65,5.34,1.93,9.03,1.24,SNCF_Open_Data
Métro,PM2.5,8.08,3.84,35.7,2024-05-22 00:00:00,8.59,Lille,1.4,2.32,3.01,62.25,2.23,Météo-France
Transilien,NO2,7.94,5.27,24.93,2024-03-22 00:00:00,2.44,Bordeaux,8.0,6.99,7.46,76.96,6.79,RATP_Open_Data_2024
TGV,CO,3.63,5.98,80.18,2024-12-18 00:00:00,2.9,Toulouse,4.27,2.42,6.29,84.86,6.48,SNCF_Open_Data
Transilien,O3,2.08,7.96,81.2,2024-05-12 00:00:00,1.66,Bordeaux,5.55,4.3,1.56,51.86,1.21,Météo-France
TGV,SO2,2.55,5.85,53.05,2024-06-12 00:00:00,1.6,Nantes,7.18,7.13,4.54,58.78,6.25,RATP_Open_Data_2024
Transilien,O3,5.24,3.51,31.82,2024-05-15 00:00:00,5.9,Nantes,2.36,4.7,2.82,20.95,2.71,Météo-France
Transilien,O3,1.46,7.74,72.97,2024-10-11 00:00:00,7.75,Paris,8.14,6.4,4.65,10.46,1.56,RATP_Open_Data_2024
TER,PM10,4.76,2.42,50.55,2024-08-24 00:00:00,4.21,Paris,7.0,7.08,1.49,64.92,2.11,RATP_Open_Data_2024
RER,O3,4.98,1.8,28.22,2024-05-21 00:00:00,8.09,Nantes,2.73,2.66,3.45,22.07,7.45,Airparif
Métro,PM2.5,4.17,8.39,15.83,2024-04-10 00:00:00,3.87,Lille,7.03,6.12,5.12,21.2,7.55,Météo-France
Tramway,NO2,7.52,8.32,25.77,2024-08-09 00:00:00,6.79,Lyon,1.4,1.44,6.53,56.36,7.25,Airparif
TER,PM2.5,8.4,5.17,45.94,2024-09-15 00:00:00,5.01,Marseille,7.11,7.24,4.7,36.92,3.92,Data.gouv.fr
TER,O3,2.91,2.45,53.73,2024-08-21 00:00:00,4.19,Lille,7.97,4.27,4.66,29.52,3.77,Data.gouv.fr
Métro,CO,2.45,4.18,38.5,2024-08-16 00:00:00,2.35,Nantes,5.0,7.89,3.96,23.37,8.15,RATP_Open_Data_2024
TGV,SO2,4.15,7.29,55.44,2024-04-27 00:00:00,4.49,Bordeaux,3.25,4.42,8.08,35.0,3.41,SNCF_Open_Data
Transilien,NO2,1.91,3.86,8.77,2024-10-13 00:00:00,3.27,Nice,4.25,4.86,5.47,27.93,4.12,Data.gouv.fr
RER,O3,8.61,1.73,65.06,2024-03-13 00:00:00,7.33,Montpellier,2.74,2.1,4.96,16.26,2.87,SNCF_Open_Data
Métro,SO2,4.44,6.19,66.45,2024-03-26 00:00:00,6.79,Nice,3.2,7.68,3.91,28.05,1.79,Météo-France
Bus RATP,PM10,5.7,2.58,71.22,2024-08-03 00:00:00,1.92,Nice,1.81,5.35,3.83,71.61,5.24,Airparif
RER,PM10,1.6,2.14,58.43,2024-11-15 00:00:00,8.73,Lyon,8.74,6.03,8.5,62.39,6.54,Météo-France
RER,CO,8.13,4.92,34.42,2024-10-02 00:00:00,5.59,Strasbourg,7.71,8.5,4.72,46.15,3.16,Météo-France
RER,PM2.5,3.84,8.17,55.71,2024-05-01 00:00:00,2.1,Marseille,1.87,6.63,6.84,7.05,1.46,SNCF_Open_Data
Bus RATP,CO,7.86,5.18,69.28,2024-04-15 00:00:00,5.38,Marseille,4.3,7.41,1.95,2.06,7.08,RATP_Open_Data_2024
TGV,PM10,2.27,5.26,62.12,2024-03-30 00:00:00,8.36,Toulouse,7.79,7.09,5.76,27.5,2.98,Météo-France
Métro,CO,4.61,5.84,20.09,2024-01-09 00:00:00,2.25,Lyon,6.75,2.01,3.63,32.76,7.67,RATP_Open_Data_2024
Tramway,PM2.5,1.75,5.82,65.73,2024-08-14 00:00:00,1.88,Marseille,5.99,1.95,7.17,44.39,3.27,SNCF_Open_Data
Tramway,PM2.5,7.81,4.71,10.62,2024-07-11 00:00:00,7.26,Strasbourg,3.73,2.48,6.89,82.7,3.92,Météo-France
Bus RATP,CO,3.1,4.89,45.34,2024-11-14 00:00:00,3.71,Bordeaux,5.03,4.86,5.65,2.39,7.11,SNCF_Open_Data
Tramway,CO,3.46,8.46,53.25,2024-08-19 00:00:00,1.8,Strasbourg,8.11,3.49,8.73,52.27,8.63,SNCF_Open_Data
Bus RATP,CO,4.69,4.99,28.02,2024-12-16 00:00:00,5.32,Montpellier,2.56,6.68,3.59,69.79,3.07,Météo-France
RER,PM2.5,7.45,8.19,64.39,2024-04-15 00:00:00,5.2,Nantes,1.97,8.16,6.98,80.5,4.73,Météo-France
Tramway,NO2,4.82,7.24,56.31,2024-03-06 00:00:00,8.59,Bordeaux,2.23,3.85,5.61,17.27,3.75,RATP_Open_Data_2024
Bus RATP,CO,3.58,5.11,50.37,2024-06-09 00:00:00,5.59,Marseille,2.91,1.46,8.4,45.65,5.86,Data.gouv.fr
Tramway,PM10,6.91,7.33,15.35,2024-06-12 00:00:00,6.79,Nantes,8.77,2.48,3.69,59.25,6.54,Météo-France
Bus RATP,PM2.5,5.48,4.43,15.47,2024-08-25 00:00:00,7.36,Nantes,5.53,3.06,3.3,64.29,7.06,SNCF_Open_Data
Tramway,PM2.5,6.69,4.81,83.72,2024-11-30 00:00:00,7.47,Marseille,2.43,6.07,3.1,28.82,5.32,Airparif
TGV,PM2.5,1.38,8.32,60.54,2024-10-28 00:00:00,7.21,Marseille,1.86,2.45,4.78,75.23,5.42,Data.gouv.fr
Bus RATP,O3,8.01,4.86,69.26,2024-11-27 00:00:00,3.71,Nice,1.47,6.18,1.92,17.8,5.76,RATP_Open_Data_2024
TGV,PM2.5,5.91,1.41,63.11,2024-11-04 00:00:00,7.44,Nice,1.73,5.54,6.57,36.45,8.24,Airparif
RER,CO,4.1,2.44,55.08,2024-11-17 00:00:00,3.59,Paris,4.97,5.51,5.51,28.62,7.99,Météo-France
TER,PM2.5,6.2,8.4,13.63,2024-06-18 00:00:00,6.07,Bordeaux,7.64,4.62,1.21,5.76,6.79,SNCF_Open_Data
Transilien,PM10,7.91,6.55,35.46,2024-11-12 00:00:00,4.83,Toulouse,6.14,3.6,5.08,82.23,6.21,RATP_Open_Data_2024
TGV,PM10,4.06,8.32,67.58,2024-12-07 00:00:00,4.81,Lyon,3.11,7.13,4.43,33.39,7.58,RATP_Open_Data_2024
Tramway,PM10,6.87,2.21,12.09,2024-02-18 00:00:00,4.3,Paris,4.19,6.23,7.89,52.5,6.24,RATP_Open_Data_2024
