col_ville,col_mode_transport,col_retard_moyen,col_retard_max,col_nb_incidents,col_total_passagers_impactes,col_date,col_heure,col_ligne,col_retard_minutes,col_retard_categorie,col_cause_retard,col_nb_voyages_affectes,col_passagers_impactes,col_type_incident,col_source
Toulouse,TER,1.94,7.74,ID_088,7.42,2024-06-27 00:00:00,5.6,8.56,3.73,7.76,7.64,2.85,5.35,ID_088,Météo-France
Lyon,RER,1.61,7.93,ID_089,5.06,2024-12-09 00:00:00,5.77,3.65,6.51,4.3,7.42,4.58,4.8,ID_089,Airparif
Toulouse,TGV,6.51,6.17,ID_090,7.66,2024-08-06 00:00:00,3.32,8.46,4.71,2.07,5.86,6.48,7.44,ID_090,SNCF_Open_Data
Paris,TER,3.24,3.85,ID_091,2.8,2024-07-06 00:00:00,7.13,4.32,4.89,2.64,5.08,4.62,7.88,ID_091,Data.gouv.fr
Nice,TER,7.5,3.32,ID_092,3.78,2024-11-08 00:00:00,2.03,8.45,6.34,1.37,3.66,5.99,3.35,ID_092,Data.gouv.fr
Strasbourg,RER,4.16,2.83,ID_093,4.61,2024-08-05 00:00:00,6.89,2.97,3.85,4.97,1.72,6.5,1.42,ID_093,Data.gouv.fr
Montpellier,RER,8.02,3.27,ID_094,8.33,2024-09-23 00:00:00,5.37,3.71,4.87,6.29,8.02,6.44,3.82,ID_094,Météo-France
Toulouse,TER,6.75,4.17,ID_095,4.35,2024-04-04 00:00:00,5.95,7.97,8.45,7.55,3.05,2.77,6.08,ID_095,SNCF_Open_Data
Marseille,Bus RATP,5.8,1.54,ID_096,2.99,2024-12-03 00:00:00,4.5,6.26,6.65,4.25,7.18,7.72,2.38,ID_096,Data.gouv.fr
Lyon,Transilien,5.33,1.78,ID_097,6.04,2024-09-13 00:00:00,3.43,3.67,5.36,3.7,7.39,8.25,5.1,ID_097,Airparif
Marseille,Bus RATP,5.48,1.39,ID_098,7.35,2024-04-06 00:00:00,4.11,6.15,6.02,1.84,1.62,2.05,4.18,ID_098,RATP_Open_Data_2024
Marseille,Tramway,5.53,5.61,ID_099,6.89,2024-09-28 00:00:00,3.31,4.81,3.35,2.75,1.99,7.47,8.6,ID_099,Data.gouv.fr
Paris,Métro,1.36,1.45,ID_000,5.96,2024-02-03 00:00:00,7.14,6.37,2.48,3.01,1.85,2.32,3.86,ID_000,Airparif
Strasbourg,TGV,7.63,7.78,ID_001,7.55,2024-05-24 00:00:00,7.37,8.76,6.56,5.42,7.12,5.74,7.35,ID_001,Airparif
Nice,RER,3.92,3.87,ID_002,1.87,2024-04-15 00:00:00,8.19,7.92,4.09,2.66,2.98,5.42,4.96,ID_002,Météo-France
Nantes,TER,3.81,1.94,ID_003,5.87,2024-10-28 00:00:00,1.35,6.96,2.59,2.69,3.07,4.41,4.35,ID_003,Data.gouv.fr
Lyon,Bus RATP,5.74,5.08,ID_004,8.52,2024-07-07 00:00:00,3.25,3.41,2.59,2.91,5.06,2.33,7.73,ID_004,SNCF_Open_Data
Strasbourg,RER,7.91,7.6,ID_005,6.72,2024-06-01 00:00:00,3.94,5.78,3.61,8.72,4.96,3.79,6.36,ID_005,RATP_Open_Data_2024
Lyon,Métro,5.44,4.44,ID_006,6.6,2024-11-06 00:00:00,3.27,6.74,1.54,2.8,6.44,8.58,7.43,ID_006,RATP_Open_Data_2024
Strasbourg,RER,1.77,2.58,ID_007,2.7,2024-10-22 00:00:00,2.35,7.9,4.44,3.18,4.0,1.58,6.94,ID_007,SNCF_Open_Data
Nice,TER,7.26,6.96,ID_008,6.0,2024-05-23 00:00:00,4.88,3.37,6.06,1.94,5.58,4.6,3.89,ID_008,Data.gouv.fr
Nice,RER,4.44,1.98,ID_009,2.2,2024-11-09 00:00:00,5.14,2.56,3.85,3.63,2.8,2.72,8.62,ID_009,SNCF_Open_Data
Marseille,Tramway,8.03,5.3,ID_010,4.69,2024-10-16 00:00:00,8.77,7.37,3.76,3.53,2.98,5.04,7.07,ID_010,SNCF_Open_Data
Marseille,TGV,3.64,3.61,ID_011,7.86,2024-03-22 00:00:00,7.9,4.49,4.66,4.63,6.65,2.21,1.59,ID_011,SNCF_Open_Data
Lyon,Bus RATP,2.29,8.36,ID_012,5.87,2024-11-25 00:00:00,8.22,5.52,7.12,7.15,8.38,1.54,2.91,ID_012,Météo-France
Toulouse,TGV,2.85,3.05,ID_013,6.48,2024-03-15 00:00:00,7.95,5.97,6.1,7.03,2.11,3.26,8.71,ID_013,SNCF_Open_Data
Montpellier,RER,7.23,6.08,ID_014,2.23,2024-03-29 00:00:00,6.72,6.37,2.88,8.27,8.54,5.08,1.86,ID_014,Météo-France
Lille,Bus RATP,8.76,5.95,ID_015,5.82,2024-03-06 00:00:00,2.96,2.5,6.95,2.07,7.36,2.15,3.54,ID_015,Météo-France
Marseille,Transilien,4.94,6.27,ID_016,5.23,2024-03-27 00:00:00,8.44,6.96,3.29,1.91,4.2,4.06,5.77,ID_016,RATP_Open_Data_2024
Nantes,RER,5.09,7.67,ID_017,3.38,2024-12-22 00:00:00,2.95,8.46,5.63,3.35,1.21,8.22,1.61,ID_017,Airparif
Nice,TGV,7.25,4.56,ID_018,5.63,2024-06-25 00:00:00,3.82,2.64,3.35,6.91,7.09,1.91,4.91,ID_018,RATP_Open_Data_2024
Toulouse,Métro,4.05,2.51,ID_019,8.51,2024-12-19 00:00:00,6.53,5.24,4.06,8.35,6.38,2.84,3.64,ID_019,Airparif
Nice,Métro,8.58,5.68,ID_020,7.08,2024-08-31 00:00:00,3.2,7.06,6.08,5.14,6.59,6.59,8.59,ID_020,RATP_Open_Data_2024
Montpellier,Tramway,7.3,3.63,ID_021,7.37,2024-06-10 00:00:00,6.01,2.45,4.25,1.89,5.04,4.3,8.51,ID_021,RATP_Open_Data_2024
Lille,Transilien,8.61,8.07,ID_022,4.32,2024-11-06 00:00:00,8.0,6.35,5.95,3.98,7.07,2.49,5.17,ID_022,Airparif
Bordeaux,Bus RATP,3.52,7.97,ID_023,2.62,2024-05-16 00:00:00,1.57,2.72,4.94,6.87,8.54,3.37,6.89,ID_023,Météo-France
Strasbourg,TGV,4.73,1.32,ID_024,4.35,2024-01-22 00:00:00,6.39,1.31,2.5,7.23,6.91,4.67,7.98,ID_024,Data.gouv.fr
Bordeaux,Bus RATP,5.11,2.09,ID_025,6.11,2024-01-06 00:00:00,4.68,6.8,8.49,3.14,2.58,5.78,7.02,ID_025,Data.gouv.fr
Nice,Tramway,2.85,4.57,ID_026,1.53,2024-08-24 00:00:00,3.41,2.53,8.11,6.93,5.11,2.16,8.18,ID_026,Airparif
Strasbourg,Bus RATP,6.13,8.2,ID_027,8.08,2024-09-19 00:00:00,5.18,4.08,4.56,6.95,8.52,6.23,3.52,ID_027,Data.gouv.fr
Marseille,TER,6.0,7.93,ID_028,5.14,2024-04-20 00:00:00,6.62,1.43,2.39,1.38,1.97,6.18,3.5,ID_028,Airparif
Bordeaux,Transilien,2.49,3.67,ID_029,7.16,2024-11-11 00:00:00,4.45,2.64,2.82,4.7,4.15,2.75,6.01,ID_029,Airparif
Lille,Transilien,3.58,2.18,ID_030,3.08,2024-02-01 00:00:00,6.02,4.62,3.74,1.96,5.44,2.82,3.67,ID_030,RATP_Open_Data_2024
Lyon,Tramway,4.51,3.17,ID_031,3.46,2024-03-12 00:00:00,2.55,4.12,4.84,2.46,4.91,8.52,1.48,ID_031,Data.gouv.fr
Montpellier,Transilien,6.1,2.23,ID_032,3.12,2024-05-13 00:00:00,5.11,4.11,7.72,5.55,1.46,4.4,2.44,ID_032,SNCF_Open_Data
Toulouse,Bus RATP,1.7,6.97,ID_033,8.55,2024-11-11 00:00:00,5.13,6.99,8.62,4.23,8.36,7.89,3.85,ID_033,SNCF_Open_Data
Lyon,Tramway,2.94,3.49,ID_034,8.29,2024-06-23 00:00:00,1.64,3.79,1.21,4.74,6.81,7.9,1.63,ID_034,Airparif
Paris,TER,2.21,3.23,ID_035,5.55,2024-10-01 00:00:00,7.7,2.11,1.25,3.18,1.91,5.04,3.21,ID_035,Airparif
Nice,Tramway,3.43,2.35,ID_036,3.95,2024-08-04 00:00:00,6.15,1.85,2.66,2.78,8.27,3.9,4.86,ID_036,Data.gouv.fr
Strasbourg,TGV,8.44,1.41,ID_037,5.13,2024-09-06 00:00:00,6.42,1.64,3.14,1.53,4.3,8.66,7.5,ID_037,SNCF_Open_Data
Nice,TER,4.13,1.41,ID_038,7.56,2024-10-26 00:00:00,8.05,2.31,8.6,7.14,5.58,4.8,2.94,ID_038,SNCF_Open_Data
Nantes,TER,1.71,7.28,ID_039,7.21,2024-09-02 00:00:00,8.29,3.32,3.79,6.91,2.23,6.37,4.29,ID_039,SNCF_Open_Data
Montpellier,Transilien,2.54,6.47,ID_040,3.54,2024-04-08 00:00:00,5.72,1.55,2.19,2.61,7.16,2.54,1.63,ID_040,RATP_Open_Data_2024
Nantes,TER,2.96,6.7,ID_041,1.5,2024-02-03 00:00:00,5.47,1.63,4.43,4.4,7.06,3.35,2.2,ID_041,Airparif
Toulouse,TGV,6.6,5.37,ID_042,6.69,2024-06-26 00:00:00,3.35,2.69,5.21,2.55,6.09,3.72,8.41,ID_042,Airparif
Lille,RER,3.14,6.3,ID_043,2.72,2024-05-01 00:00:00,2.19,5.13,5.17,3.32,7.96,7.78,4.83,ID_043,Météo-France
Paris,Transilien,3.99,6.36,ID_044,8.72,2024-09-14 00:00:00,1.51,2.43,8.41,3.33,6.65,7.74,5.3,ID_044,Data.gouv.fr
Paris,Métro,7.38,2.86,ID_045,4.74,2024-02-08 00:00:00,3.16,5.64,4.88,5.23,2.26,4.02,2.69,ID_045,Data.gouv.fr
Bordeaux,Tramway,4.01,8.14,ID_046,3.52,2024-08-26 00:00:00,3.55,6.0,3.82,4.4,8.1,4.1,5.3,ID_046,Airparif
Lyon,Bus RATP,3.17,8.67,ID_047,1.22,2024-01-22 00:00:00,6.72,8.48,5.78,4.05,3.1,2.16,6.0,ID_047,Airparif
Strasbourg,RER,3.97,6.67,ID_048,6.81,2024-03-04 00:00:00,1.63,8.2,8.23,1.52,6.74,3.69,4.19,ID_048,Data.gouv.fr
Lille,Tramway,4.09,2.68,ID_049,2.28,2024-05-23 00:00:00,8.4,1.25,4.02,3.59,7.7,3.8,6.91,ID_049,RATP_Open_Data_2024
Nantes,RER,4.4,3.52,ID_050,3.71,2024-01-09 00:00:00,7.55,8.23,8.23,3.33,1.43,2.91,4.48,ID_050,RATP_Open_Data_2024
Nantes,TER,1.93,5.01,ID_051,5.36,2024-03-30 00:00:00,1.99,8.04,4.29,4.14,1.3,1.87,3.32,ID_051,Airparif
Bordeaux,Bus RATP,2.65,3.33,ID_052,1.92,2024-01-26 00:00:00,7.06,2.58,7.8,7.05,6.11,3.52,7.15,ID_052,Airparif
Toulouse,Tramway,1.79,6.87,ID_053,3.58,2024-09-06 00:00:00,5.27,8.58,6.38,2.78,3.37,1.99,4.05,ID_053,Airparif
Marseille,Transilien,4.04,5.06,ID_054,2.59,2024-01-25 00:00:00,7.47,1.44,2.36,6.46,7.74,4.57,7.24,ID_054,RATP_Open_Data_2024
Nice,Bus RATP,3.07,1.58,ID_055,7.24,2024-09-04 00:00:00,4.67,5.11,3.5,4.53,1.79,5.19,6.84,ID_055,Airparif
Nantes,TGV,3.66,1.83,ID_056,6.11,2024-06-22 00:00:00,4.88,3.47,5.95,4.12,6.02,6.38,4.81,ID_056,Météo-France
Nice,Métro,3.99,1.27,ID_057,1.9,2024-04-17 00:00:00,6.18,6.75,1.97,5.91,4.32,6.04,3.55,ID_057,Météo-France
Montpellier,TGV,8.27,1.69,ID_058,5.05,2024-09-07 00:00:00,6.59,3.11,5.23,6.7,5.0,7.34,3.9,ID_058,Airparif
Nantes,Tramway,7.03,6.5,ID_059,5.78,2024-01-22 00:00:00,1.66,6.92,5.69,5.88,7.76,2.01,3.97,ID_059,Airparif
Strasbourg,TER,4.41,4.8,ID_060,5.99,2024-06-04 00:00:00,7.06,1.28,6.65,6.52,6.57,1.78,7.53,ID_060,Airparif
Paris,Tramway,1.76,4.38,ID_061,7.77,2024-11-17 00:00:00,4.0,8.25,3.49,3.7,7.53,5.35,3.7,ID_061,Airparif
Paris,Tramway,2.86,5.24,ID_062,6.39,2024-02-09 00:00:00,6.75,6.25,2.3,7.68,6.08,7.13,7.89,ID_062,RATP_Open_Data_2024
Nantes,Transilien,1.65,6.92,ID_063,1.65,2024-01-03 00:00:00,2.54,4.23,4.02,5.97,3.01,2.39,4.84,ID_063,Data.gouv.fr
Strasbourg,Métro,7.55,7.47,ID_064,3.01,2024-08-06 00:00:00,1.92,2.0,6.9,1.77,2.52,8.11,2.45,ID_064,Météo-France
Nice,Bus RATP,7.98,6.57,ID_065,4.58,2024-07-06 00:00:00,5.87,3.81,1.54,6.81,1.62,1.89,2.02,ID_065,Météo-France
Paris,Tramway,8.37,5.21,ID_066,3.21,2024-02-05 00:00:00,5.26,4.23,6.22,2.94,7.36,5.79,5.54,ID_066,Météo-France
Lyon,Bus RATP,2.81,4.23,ID_067,8.26,2024-09-16 00:00:00,6.05,4.52,4.36,4.38,3.68,4.86,6.61,ID_067,SNCF_Open_Data
Bordeaux,RER,6.14,3.5,ID_068,5.92,2024-08-01 00:00:00,7.79,3.21,2.26,4.97,5.98,3.15,2.47,ID_068,Data.gouv.fr
Lyon,Bus RATP,5.33,6.62,ID_069,1.67,2024-06-20 00:00:00,2.45,4.89,7.41,5.57,3.26,6.31,1.86,ID_069,Data.gouv.fr
Nantes,Tramway,1.98,4.34,ID_070,5.74,2024-11-12 00:00:00,4.94,3.25,4.08,6.5,6.16,1.21,6.37,ID_070,Airparif
Lyon,Métro,2.45,8.6,ID_071,4.15,2024-04-27 00:00:00,7.25,4.35,2.29,1.87,4.25,1.53,5.56,ID_071,RATP_Open_Data_2024
Montpellier,TER,8.59,7.48,ID_072,1.46,2024-11-16 00:00:00,5.31,8.72,6.28,3.85,4.96,4.33,3.42,ID_072,Météo-France
Strasbourg,Bus RATP,7.9,7.02,ID_073,2.91,2024-01-20 00:00:00,1.33,6.58,7.28,4.58,1.49,1.85,1.58,ID_073,SNCF_Open_Data
Toulouse,RER,1.27,1.62,ID_074,6.64,2024-09-17 00:00:00,8.71,6.88,3.67,6.54,5.02,4.4,1.85,ID_074,Data.gouv.fr
Nantes,Métro,8.12,5.6,ID_075,4.68,2024-08-05 00:00:00,2.21,1.69,7.11,7.71,2.67,2.44,6.02,ID_075,RATP_Open_Data_2024
Nantes,Transilien,2.17,2.33,ID_076,6.57,2024-10-21 00:00:00,8.57,1.49,5.42,7.53,5.6,7.39,6.07,ID_076,Airparif
Paris,RER,7.1,3.15,ID_077,8.36,2024-06-11 00:00:00,2.44,8.72,1.47,3.07,2.3,7.35,4.15,ID_077,SNCF_Open_Data
Strasbourg,Bus RATP,5.31,1.28,ID_078,8.49,2024-09-18 00:00:00,2.58,3.37,3.85,2.75,7.34,8.63,4.96,ID_078,RATP_Open_Data_2024
Paris,Bus RATP,5.82,4.66,ID_079,6.04,2024-03-05 00:00:00,3.63,5.04,4.77,4.03,8.35,1.31,6.94,ID_079,Météo-France
Toulouse,Métro,8.78,5.66,ID_080,4.12,2024-07-29 00:00:00,4.43,8.72,5.2,5.55,3.88,3.4,4.42,ID_080,Data.gouv.fr
Nantes,TGV,1.22,4.3,ID_081,1.37,2024-09-25 00:00:00,4.84,4.01,2.42,7.32,8.47,6.27,1.48,ID_081,SNCF_Open_Data
Paris,TER,8.03,5.43,ID_082,6.13,2024-10-03 00:00:00,8.76,2.46,8.41,5.34,2.71,5.0,3.92,ID_082,Météo-France
Toulouse,Métro,7.2,4.73,ID_083,6.73,2024-08-17 00:00:00,1.53,7.19,4.95,7.27,6.13,3.69,4.75,ID_083,SNCF_Open_Data
Lille,TGV,3.37,8.07,ID_084,1.45,2024-10-07 00:00:00,3.11,7.59,2.65,3.04,8.49,3.79,4.64,ID_084,Data.gouv.fr
Bordeaux,Métro,5.97,1.68,ID_085,2.36,2024-08-24 00:00:00,4.78,2.43,2.86,1.44,3.43,5.88,1.29,ID_085,Airparif
Bordeaux,TER,3.12,4.44,ID_086,5.64,2024-12-16 00:00:00,6.52,7.9,6.56,4.3,6.65,1.97,4.73,ID_086,RATP_Open_Data_2024
Toulouse,Bus RATP,5.58,6.09,ID_087,5.01,2024-12-23 00:00:00,3.13,6.07,1.41,3.04,2.27,5.63,4.15,ID_087,Data.gouv.fr
Nantes,RER,1.82,7.75,ID_088,6.64,2024-02-23 00:00:00,2.35,6.21,5.26,4.47,4.26,4.73,3.58,ID_088,SNCF_Open_Data
Paris,TER,1.75,8.43,ID_089,2.74,2024-02-11 00:00:00,1.88,7.26,2.12,7.28,8.8,7.24,5.56,ID_089,SNCF_Open_Data
Bordeaux,Tramway,5.16,3.69,ID_090,3.24,2024-12-12 00:00:00,3.83,7.2,1.38,4.68,1.28,4.87,2.46,ID_090,Data.gouv.fr
Montpellier,Tramway,4.99,1.82,ID_091,8.53,2024-11-19 00:00:00,3.59,4.06,7.09,2.23,8.03,1.99,7.75,ID_091,RATP_Open_Data_2024
Bordeaux,Transilien,3.5,4.45,ID_092,2.82,2024-09-18 00:00:00,4.91,1.48,4.55,2.51,5.21,7.84,3.39,ID_092,Météo-France
Lyon,Transilien,4.29,2.52,ID_093,8.36,2024-06-01 00:00:00,3.61,2.75,4.68,4.82,5.2,5.28,5.79,ID_093,Météo-France
Nantes,RER,1.27,5.67,ID_094,8.53,2024-02-18 00:00:00,6.19,7.73,6.29,3.17,4.54,6.49,7.26,ID_094,Météo-France
Toulouse,TGV,4.13,8.11,ID_095,7.23,2024-09-24 00:00:00,6.47,6.72,2.8,3.88,6.71,2.44,7.08,ID_095,Météo-France
Montpellier,TER,3.68,6.72,ID_096,5.28,2024-09-15 00:00:00,5.64,6.92,6.62,5.31,2.84,3.96,6.61,ID_096,Météo-France
Nice,Transilien,7.1,5.23,ID_097,5.3,2024-09-12 00:00:00,7.88,7.11,6.76,7.0,7.94,2.35,4.41,ID_097,RATP_Open_Data_2024
Nice,Métro,3.19,4.53,ID_098,8.74,2024-09-17 00:00:00,1.83,6.65,6.27,6.24,3.96,6.03,8.78,ID_098,Data.gouv.fr
Marseille,RER,8.52,5.23,ID_099,3.47,2024-07-29 00:00:00,3.43,8.15,3.04,5.85,3.03,8.09,1.79,ID_099,Météo-France
Strasbourg,Transilien,4.54,1.55,ID_000,1.41,2024-12-25 00:00:00,1.55,1.66,8.48,2.22,2.92,5.86,5.5,ID_000,SNCF_Open_Data
Lyon,Métro,4.21,4.66,ID_001,3.14,2024-08-05 00:00:00,6.46,1.46,5.18,7.38,7.75,5.15,3.31,ID_001,RATP_Open_Data_2024
Toulouse,Bus RATP,4.05,7.86,ID_002,2.47,2024-04-16 00:00:00,7.59,3.73,4.68,6.48,5.49,8.2,2.49,ID_002,Météo-France
Nantes,Tramway,2.95,3.28,ID_003,4.77,2024-01-28 00:00:00,1.69,2.52,7.49,8.24,3.33,2.32,8.47,ID_003,Airparif
Montpellier,TGV,5.44,5.57,ID_004,4.5,2024-01-18 00:00:00,8.39,5.01,5.58,8.4,4.93,1.92,4.61,ID_004,Airparif
Montpellier,Tramway,5.63,5.4,ID_005,8.65,2024-05-30 00:00:00,3.0,2.34,8.49,5.32,4.17,1.57,5.28,ID_005,SNCF_Open_Data
Marseille,Tramway,5.78,5.16,ID_006,6.3,2024-04-21 00:00:00,2.44,2.0,5.31,8.0,3.39,4.04,8.67,ID_006,SNCF_Open_Data
Nice,TER,2.7,3.65,ID_007,6.16,2024-06-20 00:00:00,8.56,2.85,6.79,4.38,4.0,4.53,3.82,ID_007,SNCF_Open_Data
Bordeaux,Bus RATP,1.73,5.16,ID_008,3.52,2024-08-13 00:00:00,7.83,4.96,6.84,3.28,5.87,7.79,7.08,ID_008,Météo-France
Montpellier,Transilien,5.28,5.98,ID_009,4.95,2024-10-10 00:00:00,8.52,7.78,5.93,5.18,4.15,8.3,2.27,ID_009,RATP_Open_Data_2024
Lille,Métro,8.21,4.25,ID_010,4.18,2024-07-22 00:00:00,5.06,1.56,6.17,7.93,1.25,5.96,1.49,ID_010,RATP_Open_Data_2024
Nice,Tramway,6.88,6.98,ID_011,5.88,2024-03-20 00:00:00,6.36,4.15,3.72,6.33,7.91,1.51,8.0,ID_011,SNCF_Open_Data
Toulouse,TER,8.05,2.19,ID_012,8.5,2024-09-29 00:00:00,1.66,7.68,5.69,5.57,1.73,4.22,3.7,ID_012,Météo-France
Lille,Transilien,5.8,6.23,ID_013,2.75,2024-12-11 00:00:00,4.59,2.61,5.74,5.16,5.28,1.56,1.69,ID_013,Météo-France
Toulouse,Tramway,3.67,8.39,ID_014,8.25,2024-02-28 00:00:00,8.04,6.1,4.22,6.85,5.96,5.32,6.25,ID_014,Météo-France
Lille,TER,5.29,6.87,ID_015,7.72,2024-02-23 00:00:00,4.0,5.71,6.54,2.47,4.27,7.27,2.68,ID_015,Data.gouv.fr
Marseille,TGV,4.62,4.03,ID_016,3.99,2024-04-16 00:00:00,7.27,4.64,6.81,1.79,2.83,6.94,6.71,ID_016,RATP_Open_Data_2024
Nice,TGV,4.2,8.51,ID_017,5.5,2024-10-29 00:00:00,1.8,4.14,5.57,2.16,4.93,4.18,4.59,ID_017,Météo-France
Lyon,Transilien,4.88,7.68,ID_018,6.26,2024-05-17 00:00:00,8.35,6.61,3.98,4.35,7.65,1.66,4.93,ID_018,Météo-France
Toulouse,TGV,5.03,1.87,ID_019,3.91,2024-08-16 00:00:00,3.23,1.76,6.12,3.85,7.23,4.81,8.02,ID_019,SNCF_Open_Data
Bordeaux,Transilien,3.56,2.89,ID_020,6.87,2024-09-26 00:00:00,1.94,4.69,3.59,1.79,4.33,5.26,2.05,ID_020,RATP_Open_Data_2024
Toulouse,Métro,4.38,6.77,ID_021,1.28,2024-10-28 00:00:00,6.45,6.08,7.93,2.78,7.41,7.07,4.81,ID_021,RATP_Open_Data_2024
Nice,Tramway,7.52,1.37,ID_022,1.44,2024-04-13 00:00:00,2.25,2.21,2.82,6.78,6.41,7.7,8.07,ID_022,Data.gouv.fr
Nantes,TER,8.63,6.84,ID_023,8.73,2024-04-05 00:00:00,7.87,4.93,4.03,4.28,6.04,3.85,4.84,ID_023,Airparif
Strasbourg,Bus RATP,1.6,7.47,ID_024,1.4,2024-06-27 00:00:00,6.1,5.95,7.04,7.05,4.77,7.17,4.28,ID_024,SNCF_Open_Data
Lille,TER,2.71,1.44,ID_025,3.49,2024-09-07 00:00:00,1.6,5.78,4.49,8.54,2.8,5.27,3.47,ID_025,Data.gouv.fr
Lyon,RER,5.06,4.03,ID_026,7.25,2024-04-07 00:00:00,4.24,6.36,6.08,8.38,8.1,4.98,2.82,ID_026,Météo-France
Montpellier,TGV,5.29,4.41,ID_027,6.01,2024-07-21 00:00:00,2.41,3.06,1.54,3.6,1.21,3.4,3.93,ID_027,Météo-France
Lille,Bus RATP,5.35,3.41,ID_028,3.24,2024-04-10 00:00:00,4.89,8.24,4.58,1.74,8.09,3.7,1.31,ID_028,Airparif
Nantes,Tramway,6.92,7.15,ID_029,8.42,2024-02-02 00:00:00,4.87,6.6,5.66,1.49,7.6,7.06,2.88,ID_029,Météo-France
Lyon,RER,3.67,8.01,ID_030,4.25,2024-12-23 00:00:00,3.19,6.7,1.56,2.54,1.29,7.18,1.71,ID_030,Météo-France
Lyon,TGV,7.95,7.49,ID_031,8.44,2024-05-25 00:00:00,2.06,4.79,7.68,8.2,5.57,2.13,3.02,ID_031,RATP_Open_Data_2024
Lille,RER,6.23,4.1,ID_032,2.39,2024-10-26 00:00:00,1.31,3.3,7.31,7.01,6.48,5.99,4.54,ID_032,SNCF_Open_Data
Bordeaux,Bus RATP,6.63,7.27,ID_033,6.72,2024-04-18 00:00:00,3.67,7.09,3.66,8.76,5.42,3.48,5.73,ID_033,Data.gouv.fr
Nice,Transilien,4.32,3.8,ID_034,2.21,2024-11-05 00:00:00,1.83,6.04,7.9,8.66,2.15,6.93,7.92,ID_034,SNCF_Open_Data
Strasbourg,TGV,8.44,6.4,ID_035,4.88,2024-03-19 00:00:00,5.19,8.3,5.74,6.02,1.4,4.26,2.5,ID_035,Météo-France
Marseille,RER,7.66,4.43,ID_036,3.56,2024-08-07 00:00:00,2.79,3.03,5.19,6.28,7.1,2.86,8.37,ID_036,Data.gouv.fr
Marseille,TGV,6.94,3.65,ID_037,5.53,2024-12-23 00:00:00,2.18,5.21,2.3,6.59,1.69,4.12,2.28,ID_037,RATP_Open_Data_2024
Lille,Bus RATP,6.97,2.1,ID_038,4.23,2024-01-30 00:00:00,8.06,2.16,8.17,6.81,6.57,3.58,8.61,ID_038,SNCF_Open_Data
Bordeaux,Tramway,3.58,4.82,ID_039,1.25,2024-10-28 00:00:00,7.28,6.0,4.32,1.8,1.34,5.85,5.6,ID_039,RATP_Open_Data_2024
Lyon,RER,5.0,5.7,ID_040,3.84,2024-03-14 00:00:00,2.62,8.33,8.2,8.36,7.77,6.36,2.19,ID_040,Airparif
Montpellier,TGV,6.03,5.05,ID_041,4.42,2024-01-17 00:00:00,3.23,7.14,1.48,2.96,1.44,1.48,1.65,ID_041,Météo-France
Nice,RER,6.83,7.58,ID_042,1.81,2024-01-14 00:00:00,2.83,5.07,5.98,2.38,4.3,3.82,5.98,ID_042,Météo-France
Marseille,RER,8.63,2.88,ID_043,5.41,2024-08-07 00:00:00,7.19,5.44,5.04,8.68,6.1,5.61,2.38,ID_043,Météo-France
Nice,Métro,1.97,7.38,ID_044,4.48,2024-01-06 00:00:00,1.23,3.49,1.52,4.92,8.37,3.23,6.81,ID_044,SNCF_Open_Data
Toulouse,Tramway,5.22,5.51,ID_045,7.32,2024-10-31 00:00:00,1.8,1.39,2.51,4.46,6.51,3.06,4.31,ID_045,Airparif
Montpellier,TGV,7.96,4.21,ID_046,7.7,2024-03-04 00:00:00,7.23,8.29,1.99,6.99,1.24,8.33,5.19,ID_046,SNCF_Open_Data
Marseille,Tramway,3.11,7.63,ID_047,4.76,2024-10-03 00:00:00,6.93,7.54,2.34,2.67,2.02,1.32,2.13,ID_047,Airparif
Paris,Tramway,3.2,7.94,ID_048,6.17,2024-04-09 00:00:00,3.67,7.33,7.6,4.42,3.25,3.13,5.34,ID_048,Météo-France
Bordeaux,TGV,8.1,6.1,ID_049,4.99,2024-09-24 00:00:00,4.58,6.33,6.42,8.57,8.31,5.86,3.85,ID_049,RATP_Open_Data_2024
Marseille,RER,7.26,5.66,ID_050,7.5,2024-12-20 00:00:00,2.98,1.39,3.49,1.84,8.24,1.32,4.43,ID_050,SNCF_Open_Data
Toulouse,RER,6.32,4.47,ID_051,2.42,2024-09-27 00:00:00,7.77,7.44,4.81,1.27,7.91,5.19,6.42,ID_051,RATP_Open_Data_2024
Montpellier,TGV,5.68,4.04,ID_052,7.74,2024-05-20 00:00:00,1.89,3.59,4.96,5.02,3.68,1.29,1.77,ID_052,RATP_Open_Data_2024
Lille,Tramway,5.21,4.73,ID_053,7.7,2024-12-19 00:00:00,7.02,7.01,8.47,7.53,2.62,1.63,4.95,ID_053,RATP_Open_Data_2024
Lille,TER,7.96,3.75,ID_054,6.91,2024-10-15 00:00:00,8.52,1.51,8.44,5.08,4.19,5.13,8.58,ID_054,Airparif
Strasbourg,RER,1.96,4.8,ID_055,4.58,2024-01-02 00:00:00,3.92,2.51,2.46,4.12,5.12,4.59,4.33,ID_055,SNCF_Open_Data
Bordeaux,TER,4.54,1.24,ID_056,7.45,2024-01-25 00:00:00,7.64,4.1,3.82,4.46,8.45,2.0,4.84,ID_056,RATP_Open_Data_2024
Toulouse,TER,3.89,8.27,ID_057,4.54,2024-02-29 00:00:00,7.35,2.57,4.76,7.23,8.7,6.11,5.78,ID_057,Météo-France
